nombre,url,pais_familia,pais_nacionalidad,tipo_caso,ocupacion,cargos_politicos
Pampita,https://es.wikipedia.org/wiki/Pampita,Chile,Argentina,Argentino en familia chilena,"Modelo , bailarina y presentadora",NA
China Suárez,https://es.wikipedia.org/wiki/China_Su%C3%A1rez,Chile,Argentina,Argentino en familia chilena,Actriz cantante,NA
Luisa Garmendia,https://es.wikipedia.org/wiki/Luisa_Garmendia,Chile,Argentina,Argentino en familia chilena,Ama de casa,NA
Godofredo Iommi,https://es.wikipedia.org/wiki/Godofredo_Iommi,Chile,Argentina,Argentino en familia chilena,"Poeta, Profesor",NA
Juan Carlos Bistoto,https://es.wikipedia.org/wiki/Juan_Carlos_Bistoto,Chile,Argentina,Argentino en familia chilena,"Actor , productor y realizador de televisión",NA
Francisco A. Barroetaveña,https://es.wikipedia.org/wiki/Francisco_A._Barroetave%C3%B1a,Chile,Argentina,Argentino en familia chilena,"político, abogado, escritor",NA
César de Tezanos Pinto,https://es.wikipedia.org/wiki/C%C3%A9sar_de_Tezanos_Pinto,Chile,Argentina,Argentino en familia chilena,"Abogado , académico , docente",NA
Jorge de Tezanos Pinto,https://es.wikipedia.org/wiki/Jorge_de_Tezanos_Pinto,Chile,Argentina,Argentino en familia chilena,"Comerciante , diplomático , militar",NA
Manuel de Tezanos Pinto (constituyente),https://es.wikipedia.org/wiki/Manuel_de_Tezanos_Pinto_%28constituyente%29,Chile,Argentina,Argentino en familia chilena,"Abogado , político , comerciante",NA
Manuel de Tezanos Pinto (político),https://es.wikipedia.org/wiki/Manuel_de_Tezanos_Pinto_%28pol%C3%ADtico%29,Chile,Argentina,Argentino en familia chilena,Comerciante y político,NA
Serapio de Tezanos Pinto,https://es.wikipedia.org/wiki/Serapio_de_Tezanos_Pinto,Chile,Argentina,Argentino en familia chilena,Político y comerciante,NA
Luisa Garmendia,https://es.wikipedia.org/wiki/Luisa_Garmendia_Alurralde,Chile,Argentina,Argentino en familia chilena,Ama de casa,NA
Ramón García de León y Pizarro,https://es.wikipedia.org/wiki/Ram%C3%B3n_Garc%C3%ADa_de_Le%C3%B3n_y_Pizarro,Chile,Argentina,Argentino en familia chilena,"Militar , político y noble",NA
Ana Jacoba García de Zúñiga,https://es.wikipedia.org/wiki/Ana_Jacoba_Garc%C3%ADa_de_Z%C3%BA%C3%B1iga,Chile,Argentina,Argentino en familia chilena,Ejército Patriota,NA
Nicolás Cabré,https://es.wikipedia.org/wiki/Nicol%C3%A1s_Cabr%C3%A9,Chile,Argentina,Argentino en familia chilena,Actor,NA
Alicia Raquel Hartridge,https://es.wikipedia.org/wiki/Alicia_Raquel_Hartridge,Chile,Argentina,Argentino en familia chilena,NA,NA
José Videla Castillo,https://es.wikipedia.org/wiki/Jos%C3%A9_Videla_Castillo,Chile,Argentina,Argentino en familia chilena,Militar y político,NA
Nicolás Videla del Pino,https://es.wikipedia.org/wiki/Nicol%C3%A1s_Videla_del_Pino,Chile,Argentina,Argentino en familia chilena,NA,NA
Blas Videla,https://es.wikipedia.org/wiki/Blas_Videla,Chile,Argentina,Argentino en familia chilena,Militar,NA
Eufrasio Videla,https://es.wikipedia.org/wiki/Eufrasio_Videla,Chile,Argentina,Argentino en familia chilena,Militar,NA
Jacinto Videla,https://es.wikipedia.org/wiki/Jacinto_Videla,Chile,Argentina,Argentino en familia chilena,NA,NA
Jorge Rafael Videla,https://es.wikipedia.org/wiki/Jorge_Rafael_Videla,Chile,Argentina,Argentino en familia chilena,NA,Crimen de lesa humanidad
Juan de Dios Videla,https://es.wikipedia.org/wiki/Juan_de_Dios_Videla,Chile,Argentina,Argentino en familia chilena,Militar,NA
Luis Videla,https://es.wikipedia.org/wiki/Luis_Videla,Chile,Argentina,Argentino en familia chilena,Militar,NA
Mario Videla,https://es.wikipedia.org/wiki/Mario_Videla,Chile,Argentina,Argentino en familia chilena,"Organista , clavecinista y flautista",NA
Ricardo Videla,https://es.wikipedia.org/wiki/Ricardo_Videla,Chile,Argentina,Argentino en familia chilena,"Ingeniero , historiador y político",NA
Octavio Campero Echazú,https://es.wikipedia.org/wiki/Octavio_Campero_Echaz%C3%BA,Argentina,Chile,Chileno en familia argentina,Escritor y poeta,NA
Vicente Francisco del Sol y Veyán,https://es.wikipedia.org/wiki/Vicente_Francisco_del_Sol_y_Vey%C3%A1n,Argentina,Chile,Chileno en familia argentina,Diplomático,Cónsul general
Cecilia Bolocco,https://es.wikipedia.org/wiki/Cecilia_Bolocco,Argentina,Chile,Chileno en familia argentina,"Miss Universo 1987 , presentadora de televisión , actriz , modelo , diseñadora de moda y activista contra el cáncer",NA
Delia del Carril,https://es.wikipedia.org/wiki/Delia_del_Carril,Argentina,Chile,Chileno en familia argentina,"Grabadora , pintora , dibujante",NA
Pablo Neruda,https://es.wikipedia.org/wiki/Pablo_Neruda,Argentina,Chile,Chileno en familia argentina,"Poeta , escritor , diplomático y político",NA
Maria Antonia Hagenaar,https://es.wikipedia.org/wiki/Mar%C3%ADa_Antonia_Hagenaar_Vogelzang,Argentina,Chile,Chileno en familia argentina,NA,NA
Matilde Urrutia,https://es.wikipedia.org/wiki/Matilde_Urrutia,Argentina,Chile,Chileno en familia argentina,Cantante,NA
Manuel Joaquín de Valdivieso,https://es.wikipedia.org/wiki/Manuel_Joaqu%C3%ADn_de_Valdivieso,Argentina,Chile,Chileno en familia argentina,Político y abogado,Diputado de Chile
José Antonio de Lavalle,https://es.wikipedia.org/wiki/Jos%C3%A9_Antonio_de_Lavalle,Argentina,Chile,Chileno en familia argentina,"Historiador, literato, diplomático, político",NA
